Vserver;Volume;Capacite;Utilise
"<a href=""index.php?vserver=hp_as_st_d2_50&amp;volume=vol_hp_as_st_d2_50_logs"">hp_as_st_d2_50</a>";vol_hp_as_st_d2_50_logs;54GB;3.69GB
"<a href=""index.php?vserver=hp_as_ut_d2_50&amp;volume=vol_hp_as_ut_d2_50_data"">hp_as_ut_d2_50</a>";vol_hp_as_ut_d2_50_data;305GB;21.21GB
"<a href=""index.php?vserver=hp_as_ut_d2_50&amp;volume=vol_hp_as_ut_d2_50_logs"">hp_as_ut_d2_50</a>";vol_hp_as_ut_d2_50_logs;108GB;549.2MB
"<a href=""index.php?vserver=hp_test_d2_50&amp;volume=vol_hp_test_d2_50_logs"">hp_test_d2_50</a>";vol_hp_test_d2_50_logs;65GB;22.18MB
"<a href=""index.php?vserver=pd_as_an_d2_50&amp;volume=vol_pd_as_an_d2_50_data"">pd_as_an_d2_50</a>";vol_pd_as_an_d2_50_data;100GB;27.77MB
"<a href=""index.php?vserver=pd_as_an_d2_50&amp;volume=vol_pd_as_an_d2_50_logs"">pd_as_an_d2_50</a>";vol_pd_as_an_d2_50_logs;20GB;12.24MB
"<a href=""index.php?vserver=pd_as_ap_d2_50&amp;volume=vol_pd_as_ap_d2_50_data"">pd_as_ap_d2_50</a>";vol_pd_as_ap_d2_50_data;1.17TB;232.8GB
"<a href=""index.php?vserver=pd_as_ap_d2_50&amp;volume=vol_pd_as_ap_d2_50_logs"">pd_as_ap_d2_50</a>";vol_pd_as_ap_d2_50_logs;32GB;7.04MB
"<a href=""index.php?vserver=pd_as_cj_d2_50&amp;volume=vol_pd_as_cj_d2_50_data"">pd_as_cj_d2_50</a>";vol_pd_as_cj_d2_50_data;10GB;2.78GB
"<a href=""index.php?vserver=pd_as_cj_d2_50&amp;volume=vol_pd_as_cj_d2_50_logs"">pd_as_cj_d2_50</a>";vol_pd_as_cj_d2_50_logs;5GB;427.2MB
"<a href=""index.php?vserver=pd_as_cn_d2_50&amp;volume=vol_pd_as_cn_d2_50_data"">pd_as_cn_d2_50</a>";vol_pd_as_cn_d2_50_data;10GB;9.12MB
"<a href=""index.php?vserver=pd_as_cn_d2_50&amp;volume=vol_pd_as_cn_d2_50_logs"">pd_as_cn_d2_50</a>";vol_pd_as_cn_d2_50_logs;5GB;10.91MB
"<a href=""index.php?vserver=pd_as_df_d2_50&amp;volume=vol_pd_as_df_d2_50_data"">pd_as_df_d2_50</a>";vol_pd_as_df_d2_50_data;700GB;1.81GB
"<a href=""index.php?vserver=pd_as_df_d2_50&amp;volume=vol_pd_as_df_d2_50_logs"">pd_as_df_d2_50</a>";vol_pd_as_df_d2_50_logs;5GB;12.16MB
"<a href=""index.php?vserver=pd_as_en_d2_50&amp;volume=vol_pd_as_en_d2_50_data"">pd_as_en_d2_50</a>";vol_pd_as_en_d2_50_data;200GB;67.11GB
"<a href=""index.php?vserver=pd_as_en_d2_50&amp;volume=vol_pd_as_en_d2_50_logs"">pd_as_en_d2_50</a>";vol_pd_as_en_d2_50_logs;10GB;110.9MB
"<a href=""index.php?vserver=pd_as_ep_d2_50&amp;volume=vol_pd_as_ep_d2_50_data"">pd_as_ep_d2_50</a>";vol_pd_as_ep_d2_50_data;10GB;8.12MB
"<a href=""index.php?vserver=pd_as_ep_d2_50&amp;volume=vol_pd_as_ep_d2_50_logs"">pd_as_ep_d2_50</a>";vol_pd_as_ep_d2_50_logs;5GB;1.63MB
"<a href=""index.php?vserver=pd_as_ge_d2_50&amp;volume=vol_pd_as_ge_d2_50_data"">pd_as_ge_d2_50</a>";vol_pd_as_ge_d2_50_data;10GB;3.55MB
"<a href=""index.php?vserver=pd_as_ge_d2_50&amp;volume=vol_pd_as_ge_d2_50_logs"">pd_as_ge_d2_50</a>";vol_pd_as_ge_d2_50_logs;5GB;61.59MB
"<a href=""index.php?vserver=pd_as_if_d2_50&amp;volume=vol_pd_as_if_d2_50_data"">pd_as_if_d2_50</a>";vol_pd_as_if_d2_50_data;100GB;17.38MB
"<a href=""index.php?vserver=pd_as_if_d2_50&amp;volume=vol_pd_as_if_d2_50_logs"">pd_as_if_d2_50</a>";vol_pd_as_if_d2_50_logs;20GB;6.74MB
"<a href=""index.php?vserver=pd_as_mn_d2_50&amp;volume=vol_pd_as_mn_d2_50_data"">pd_as_mn_d2_50</a>";vol_pd_as_mn_d2_50_data;10GB;649.0MB
"<a href=""index.php?vserver=pd_as_mn_d2_50&amp;volume=vol_pd_as_mn_d2_50_logs"">pd_as_mn_d2_50</a>";vol_pd_as_mn_d2_50_logs;7.80GB;4.15GB
"<a href=""index.php?vserver=pd_as_px_d2_50&amp;volume=vol_pd_as_px_d2_50_data"">pd_as_px_d2_50</a>";vol_pd_as_px_d2_50_data;10GB;19.03MB
"<a href=""index.php?vserver=pd_as_px_d2_50&amp;volume=vol_pd_as_px_d2_50_logs"">pd_as_px_d2_50</a>";vol_pd_as_px_d2_50_logs;5GB;19.36MB
"<a href=""index.php?vserver=pd_as_re_d2_50&amp;volume=vol_pd_as_re_d2_50_data"">pd_as_re_d2_50</a>";vol_pd_as_re_d2_50_data;18GB;6.62GB
"<a href=""index.php?vserver=pd_as_re_d2_50&amp;volume=vol_pd_as_re_d2_50_logs"">pd_as_re_d2_50</a>";vol_pd_as_re_d2_50_logs;18GB;3.37GB
"<a href=""index.php?vserver=pd_as_rh_d2_50&amp;volume=vol_pd_as_rh_d2_50_data"">pd_as_rh_d2_50</a>";vol_pd_as_rh_d2_50_data;10GB;5.72MB
"<a href=""index.php?vserver=pd_as_rh_d2_50&amp;volume=vol_pd_as_rh_d2_50_logs"">pd_as_rh_d2_50</a>";vol_pd_as_rh_d2_50_logs;5GB;3.29MB
"<a href=""index.php?vserver=pd_as_ri_d2_50&amp;volume=vol_pd_as_ri_d2_50_data"">pd_as_ri_d2_50</a>";vol_pd_as_ri_d2_50_data;50GB;8.32MB
"<a href=""index.php?vserver=pd_as_ri_d2_50&amp;volume=vol_pd_as_ri_d2_50_logs"">pd_as_ri_d2_50</a>";vol_pd_as_ri_d2_50_logs;10GB;3.96MB
"<a href=""index.php?vserver=pd_as_rp_d2_50&amp;volume=vol_pd_as_rp_d2_50_data"">pd_as_rp_d2_50</a>";vol_pd_as_rp_d2_50_data;10GB;1.14GB
"<a href=""index.php?vserver=pd_as_rp_d2_50&amp;volume=vol_pd_as_rp_d2_50_logs"">pd_as_rp_d2_50</a>";vol_pd_as_rp_d2_50_logs;5GB;32.16MB
"<a href=""index.php?vserver=pd_as_st_d2_50&amp;volume=vol_pd_as_st_d2_50_data"">pd_as_st_d2_50</a>";vol_pd_as_st_d2_50_data;50GB;8.05MB
"<a href=""index.php?vserver=pd_as_st_d2_50&amp;volume=vol_pd_as_st_d2_50_logs"">pd_as_st_d2_50</a>";vol_pd_as_st_d2_50_logs;10GB;7.98MB
"<a href=""index.php?vserver=pd_as_ut_d2_50&amp;volume=vol_pd_as_ut_d2_50_data"">pd_as_ut_d2_50</a>";vol_pd_as_ut_d2_50_data;50GB;8.53MB
"<a href=""index.php?vserver=pd_as_ut_d2_50&amp;volume=vol_pd_as_ut_d2_50_logs"">pd_as_ut_d2_50</a>";vol_pd_as_ut_d2_50_logs;10GB;2.73MB
"<a href=""index.php?vserver=pd_dpt_if_d2_50&amp;volume=vol_pd_dpt_if_d2_50_data"">pd_dpt_if_d2_50</a>";vol_pd_dpt_if_d2_50_data;3.20TB;1.77TB
"<a href=""index.php?vserver=pd_pdc_ut_d2_50&amp;volume=vol_pd_pdc_ut_d2_50_data"">pd_pdc_ut_d2_50</a>";vol_pd_pdc_ut_d2_50_data;50GB;13.87GB
"<a href=""index.php?vserver=pp_as_an_d2_50&amp;volume=vol_pp_as_an_d2_50_data"">pp_as_an_d2_50</a>";vol_pp_as_an_d2_50_data;50GB;11.66MB
"<a href=""index.php?vserver=pp_as_an_d2_50&amp;volume=vol_pp_as_an_d2_50_logs"">pp_as_an_d2_50</a>";vol_pp_as_an_d2_50_logs;10GB;4.85MB
"<a href=""index.php?vserver=pp_as_ap_d2_50&amp;volume=vol_pp_as_ap_d2_50_data"">pp_as_ap_d2_50</a>";vol_pp_as_ap_d2_50_data;40GB;3.54GB
"<a href=""index.php?vserver=pp_as_ap_d2_50&amp;volume=vol_pp_as_ap_d2_50_logs"">pp_as_ap_d2_50</a>";vol_pp_as_ap_d2_50_logs;40GB;3.47GB
"<a href=""index.php?vserver=pp_as_cj_d2_50&amp;volume=vol_pp_as_cj_d2_50_data"">pp_as_cj_d2_50</a>";vol_pp_as_cj_d2_50_data;54GB;6.30GB
"<a href=""index.php?vserver=pp_as_cj_d2_50&amp;volume=vol_pp_as_cj_d2_50_logs"">pp_as_cj_d2_50</a>";vol_pp_as_cj_d2_50_logs;18GB;85.29MB
"<a href=""index.php?vserver=pp_as_cn_d2_50&amp;volume=vol_pp_as_cn_d2_50_data"">pp_as_cn_d2_50</a>";vol_pp_as_cn_d2_50_data;306GB;940.8MB
"<a href=""index.php?vserver=pp_as_cn_d2_50&amp;volume=vol_pp_as_cn_d2_50_logs"">pp_as_cn_d2_50</a>";vol_pp_as_cn_d2_50_logs;18GB;23.89MB
"<a href=""index.php?vserver=pp_as_df_d2_50&amp;volume=vol_pp_as_df_d2_50_data"">pp_as_df_d2_50</a>";vol_pp_as_df_d2_50_data;30GB;12.62GB
"<a href=""index.php?vserver=pp_as_df_d2_50&amp;volume=vol_pp_as_df_d2_50_logs"">pp_as_df_d2_50</a>";vol_pp_as_df_d2_50_logs;18GB;19.19MB
"<a href=""index.php?vserver=pp_as_en_d2_50&amp;volume=vol_pp_as_en_d2_50_data"">pp_as_en_d2_50</a>";vol_pp_as_en_d2_50_data;198GB;90.26GB
"<a href=""index.php?vserver=pp_as_en_d2_50&amp;volume=vol_pp_as_en_d2_50_logs"">pp_as_en_d2_50</a>";vol_pp_as_en_d2_50_logs;108GB;296.8MB
"<a href=""index.php?vserver=pp_as_ep_d2_50&amp;volume=vol_pp_as_ep_d2_50_data"">pp_as_ep_d2_50</a>";vol_pp_as_ep_d2_50_data;700GB;201.2MB
"<a href=""index.php?vserver=pp_as_ep_d2_50&amp;volume=vol_pp_as_ep_d2_50_logs"">pp_as_ep_d2_50</a>";vol_pp_as_ep_d2_50_logs;36GB;255.5MB
"<a href=""index.php?vserver=pp_as_ge_d2_50&amp;volume=vol_pp_as_ge_d2_50_data"">pp_as_ge_d2_50</a>";vol_pp_as_ge_d2_50_data;54GB;24.08GB
"<a href=""index.php?vserver=pp_as_ge_d2_50&amp;volume=vol_pp_as_ge_d2_50_logs"">pp_as_ge_d2_50</a>";vol_pp_as_ge_d2_50_logs;18GB;965.3MB
"<a href=""index.php?vserver=pp_as_mn_d2_50&amp;volume=vol_pp_as_mn_d2_50_data"">pp_as_mn_d2_50</a>";vol_pp_as_mn_d2_50_data;341GB;763.9MB
"<a href=""index.php?vserver=pp_as_mn_d2_50&amp;volume=vol_pp_as_mn_d2_50_logs"">pp_as_mn_d2_50</a>";vol_pp_as_mn_d2_50_logs;18GB;35.66MB
"<a href=""index.php?vserver=pp_as_pl_d2_50&amp;volume=vol_pp_as_pl_d2_50_data"">pp_as_pl_d2_50</a>";vol_pp_as_pl_d2_50_data;200GB;555.7MB
"<a href=""index.php?vserver=pp_as_pl_d2_50&amp;volume=vol_pp_as_pl_d2_50_logs"">pp_as_pl_d2_50</a>";vol_pp_as_pl_d2_50_logs;18GB;3.63GB
"<a href=""index.php?vserver=pp_as_px_d2_50&amp;volume=vol_pp_as_px_d2_50_data"">pp_as_px_d2_50</a>";vol_pp_as_px_d2_50_data;18GB;11.29MB
"<a href=""index.php?vserver=pp_as_px_d2_50&amp;volume=vol_pp_as_px_d2_50_logs"">pp_as_px_d2_50</a>";vol_pp_as_px_d2_50_logs;18GB;16.36MB
"<a href=""index.php?vserver=pp_as_re_d2_50&amp;volume=vol_pp_as_re_d2_50_data"">pp_as_re_d2_50</a>";vol_pp_as_re_d2_50_data;54GB;53.95MB
"<a href=""index.php?vserver=pp_as_re_d2_50&amp;volume=vol_pp_as_re_d2_50_logs"">pp_as_re_d2_50</a>";vol_pp_as_re_d2_50_logs;18GB;13.88MB
"<a href=""index.php?vserver=pp_as_rh_d2_50&amp;volume=vol_pp_as_rh_d2_50_data"">pp_as_rh_d2_50</a>";vol_pp_as_rh_d2_50_data;18GB;5.50MB
"<a href=""index.php?vserver=pp_as_rh_d2_50&amp;volume=vol_pp_as_rh_d2_50_logs"">pp_as_rh_d2_50</a>";vol_pp_as_rh_d2_50_logs;18GB;11.83MB
"<a href=""index.php?vserver=pp_as_ri_d2_50&amp;volume=vol_pp_as_ri_d2_50_data"">pp_as_ri_d2_50</a>";vol_pp_as_ri_d2_50_data;1000GB;459.0GB
"<a href=""index.php?vserver=pp_as_ri_d2_50&amp;volume=vol_pp_as_ri_d2_50_logs"">pp_as_ri_d2_50</a>";vol_pp_as_ri_d2_50_logs;18GB;32.96MB
"<a href=""index.php?vserver=pp_as_rp_d2_50&amp;volume=vol_pp_as_rp_d2_50_data"">pp_as_rp_d2_50</a>";vol_pp_as_rp_d2_50_data;126GB;9.95GB
"<a href=""index.php?vserver=pp_as_rp_d2_50&amp;volume=vol_pp_as_rp_d2_50_logs"">pp_as_rp_d2_50</a>";vol_pp_as_rp_d2_50_logs;18GB;341.4MB
"<a href=""index.php?vserver=pp_as_st_d2_50&amp;volume=vol_pp_as_st_d2_50_data"">pp_as_st_d2_50</a>";vol_pp_as_st_d2_50_data;110GB;20.08GB
"<a href=""index.php?vserver=pp_as_st_d2_50&amp;volume=vol_pp_as_st_d2_50_logs"">pp_as_st_d2_50</a>";vol_pp_as_st_d2_50_logs;36GB;204.4MB
"<a href=""index.php?vserver=pp_as_ut_d2_50&amp;volume=vol_pp_as_ut_d2_50_data"">pp_as_ut_d2_50</a>";vol_pp_as_ut_d2_50_data;90GB;51.20MB
"<a href=""index.php?vserver=pp_as_ut_d2_50&amp;volume=vol_pp_as_ut_d2_50_logs"">pp_as_ut_d2_50</a>";vol_pp_as_ut_d2_50_logs;18GB;21.31MB
"<a href=""index.php?vserver=pd_as_an_d2_00&amp;volume=vol_pd_as_an_d2_00_data"">pd_as_an_d2_00</a>";vol_pd_as_an_d2_00_data;100GB;132.5MB
"<a href=""index.php?vserver=pd_as_an_d2_00&amp;volume=vol_pd_as_an_d2_00_logs"">pd_as_an_d2_00</a>";vol_pd_as_an_d2_00_logs;20GB;3.63MB
"<a href=""index.php?vserver=pd_as_ap_d2_00&amp;volume=vol_pd_as_ap_d2_00_data"">pd_as_ap_d2_00</a>";vol_pd_as_ap_d2_00_data;10GB;528.1MB
"<a href=""index.php?vserver=pd_as_ap_d2_00&amp;volume=vol_pd_as_ap_d2_00_logs"">pd_as_ap_d2_00</a>";vol_pd_as_ap_d2_00_logs;5GB;567.5MB
"<a href=""index.php?vserver=pd_as_if_d2_00&amp;volume=vol_pd_as_if_d2_00_data"">pd_as_if_d2_00</a>";vol_pd_as_if_d2_00_data;800GB;399.6GB
"<a href=""index.php?vserver=pd_as_if_d2_00&amp;volume=vol_pd_as_if_d2_00_logs"">pd_as_if_d2_00</a>";vol_pd_as_if_d2_00_logs;20GB;3.98MB
"<a href=""index.php?vserver=pd_as_px_d2_00&amp;volume=vol_pd_as_px_d2_00_data"">pd_as_px_d2_00</a>";vol_pd_as_px_d2_00_data;10GB;2.70MB
"<a href=""index.php?vserver=pd_as_px_d2_00&amp;volume=vol_pd_as_px_d2_00_logs"">pd_as_px_d2_00</a>";vol_pd_as_px_d2_00_logs;5GB;70.46MB
"<a href=""index.php?vserver=pd_as_re_d2_00&amp;volume=vol_pd_as_re_d2_00_data"">pd_as_re_d2_00</a>";vol_pd_as_re_d2_00_data;18GB;118.4MB
"<a href=""index.php?vserver=pd_as_re_d2_00&amp;volume=vol_pd_as_re_d2_00_logs"">pd_as_re_d2_00</a>";vol_pd_as_re_d2_00_logs;18GB;55.53MB
"<a href=""index.php?vserver=pd_as_ri_d2_00&amp;volume=vol_pd_as_ri_d2_00_data"">pd_as_ri_d2_00</a>";vol_pd_as_ri_d2_00_data;100GB;2.48GB
"<a href=""index.php?vserver=pd_as_ri_d2_00&amp;volume=vol_pd_as_ri_d2_00_logs"">pd_as_ri_d2_00</a>";vol_pd_as_ri_d2_00_logs;5GB;947.2MB
"<a href=""index.php?vserver=pd_as_rp_d2_00&amp;volume=vol_pd_as_rp_d2_00_data"">pd_as_rp_d2_00</a>";vol_pd_as_rp_d2_00_data;50GB;1.77GB
"<a href=""index.php?vserver=pd_as_rp_d2_00&amp;volume=vol_pd_as_rp_d2_00_logs"">pd_as_rp_d2_00</a>";vol_pd_as_rp_d2_00_logs;18GB;852.8MB
"<a href=""index.php?vserver=pd_as_st_d2_00&amp;volume=vol_pd_as_st_d2_00_data"">pd_as_st_d2_00</a>";vol_pd_as_st_d2_00_data;10GB;677.6MB
"<a href=""index.php?vserver=pd_as_st_d2_00&amp;volume=vol_pd_as_st_d2_00_logs"">pd_as_st_d2_00</a>";vol_pd_as_st_d2_00_logs;5GB;67.91MB
"<a href=""index.php?vserver=pd_dpt_if_d2_00&amp;volume=vol_pd_dpt_if_d2_00_data"">pd_dpt_if_d2_00</a>";vol_pd_dpt_if_d2_00_data;1.50TB;1.27TB
"<a href=""index.php?vserver=pd_pdc_ut_d2_00&amp;volume=vol_pd_pdc_ut_d2_00_data"">pd_pdc_ut_d2_00</a>";vol_pd_pdc_ut_d2_00_data;50GB;31.35MB
"<a href=""index.php?vserver=pp_as_ap_d2_00&amp;volume=vol_pp_as_ap_d2_00_data"">pp_as_ap_d2_00</a>";vol_pp_as_ap_d2_00_data;40GB;1.20GB
"<a href=""index.php?vserver=pp_as_ap_d2_00&amp;volume=vol_pp_as_ap_d2_00_logs"">pp_as_ap_d2_00</a>";vol_pp_as_ap_d2_00_logs;40GB;45.50MB
"<a href=""index.php?vserver=pp_as_df_d2_00&amp;volume=vol_pp_as_df_d2_00_data"">pp_as_df_d2_00</a>";vol_pp_as_df_d2_00_data;1017GB;307.3GB
"<a href=""index.php?vserver=pp_as_df_d2_00&amp;volume=vol_pp_as_df_d2_00_logs"">pp_as_df_d2_00</a>";vol_pp_as_df_d2_00_logs;54GB;2.18GB
"<a href=""index.php?vserver=pp_as_en_d2_00&amp;volume=vol_pp_as_en_d2_00_data"">pp_as_en_d2_00</a>";vol_pp_as_en_d2_00_data;36GB;24.89MB
"<a href=""index.php?vserver=pp_as_en_d2_00&amp;volume=vol_pp_as_en_d2_00_logs"">pp_as_en_d2_00</a>";vol_pp_as_en_d2_00_logs;18GB;19.00MB
"<a href=""index.php?vserver=pp_as_mn_d2_00&amp;volume=vol_pp_as_mn_d2_00_data"">pp_as_mn_d2_00</a>";vol_pp_as_mn_d2_00_data;18GB;8.57MB
"<a href=""index.php?vserver=pp_as_mn_d2_00&amp;volume=vol_pp_as_mn_d2_00_logs"">pp_as_mn_d2_00</a>";vol_pp_as_mn_d2_00_logs;18GB;20.33MB
"<a href=""index.php?vserver=pp_as_pl_d2_00&amp;volume=vol_pp_as_pl_d2_00_data"">pp_as_pl_d2_00</a>";vol_pp_as_pl_d2_00_data;18GB;54.25MB
"<a href=""index.php?vserver=pp_as_pl_d2_00&amp;volume=vol_pp_as_pl_d2_00_logs"">pp_as_pl_d2_00</a>";vol_pp_as_pl_d2_00_logs;18GB;42.66MB
"<a href=""index.php?vserver=pp_as_px_d2_00&amp;volume=vol_pp_as_px_d2_00_data"">pp_as_px_d2_00</a>";vol_pp_as_px_d2_00_data;18GB;5.01GB
"<a href=""index.php?vserver=pp_as_px_d2_00&amp;volume=vol_pp_as_px_d2_00_logs"">pp_as_px_d2_00</a>";vol_pp_as_px_d2_00_logs;18GB;244.2MB
"<a href=""index.php?vserver=pp_as_re_d2_00&amp;volume=vol_pp_as_re_d2_00_data"">pp_as_re_d2_00</a>";vol_pp_as_re_d2_00_data;844GB;144.5GB
"<a href=""index.php?vserver=pp_as_re_d2_00&amp;volume=vol_pp_as_re_d2_00_logs"">pp_as_re_d2_00</a>";vol_pp_as_re_d2_00_logs;108GB;3.86GB
"<a href=""index.php?vserver=pp_as_rh_d2_00&amp;volume=vol_pp_as_rh_d2_00_data"">pp_as_rh_d2_00</a>";vol_pp_as_rh_d2_00_data;251GB;75.93MB
"<a href=""index.php?vserver=pp_as_rh_d2_00&amp;volume=vol_pp_as_rh_d2_00_logs"">pp_as_rh_d2_00</a>";vol_pp_as_rh_d2_00_logs;18GB;26.61MB
"<a href=""index.php?vserver=pp_as_ri_d2_00&amp;volume=vol_pp_as_ri_d2_00_data"">pp_as_ri_d2_00</a>";vol_pp_as_ri_d2_00_data;1.50TB;191.8GB
"<a href=""index.php?vserver=pp_as_ri_d2_00&amp;volume=vol_pp_as_ri_d2_00_logs"">pp_as_ri_d2_00</a>";vol_pp_as_ri_d2_00_logs;53GB;3.64GB
"<a href=""index.php?vserver=pp_as_rp_d2_00&amp;volume=vol_pp_as_rp_d2_00_data"">pp_as_rp_d2_00</a>";vol_pp_as_rp_d2_00_data;18GB;784.6MB
"<a href=""index.php?vserver=pp_as_rp_d2_00&amp;volume=vol_pp_as_rp_d2_00_logs"">pp_as_rp_d2_00</a>";vol_pp_as_rp_d2_00_logs;36GB;12.73GB
"<a href=""index.php?vserver=pp_as_st_d2_00&amp;volume=vol_pp_as_st_d2_00_data"">pp_as_st_d2_00</a>";vol_pp_as_st_d2_00_data;395GB;30.53GB
"<a href=""index.php?vserver=pp_as_st_d2_00&amp;volume=vol_pp_as_st_d2_00_logs"">pp_as_st_d2_00</a>";vol_pp_as_st_d2_00_logs;54GB;976.8MB
"<a href=""index.php?vserver=pp_as_tt_d2_00&amp;volume=vol_pp_as_tt_d2_00_data"">pp_as_tt_d2_00</a>";vol_pp_as_tt_d2_00_data;50GB;5.37MB
"<a href=""index.php?vserver=pp_as_tt_d2_00&amp;volume=vol_pp_as_tt_d2_00_logs"">pp_as_tt_d2_00</a>";vol_pp_as_tt_d2_00_logs;50GB;6.09MB
