env;quartier;dc;zone;type;CapFS;UseFS;Use%
hp;AN;d2;Int;data;100.0;13.22;13.22
hp;AN;d2;Int;logs;50.0;5.88;11.76
hp;AP;d2;Int;data;100.0;23.7;23.7
hp;AP;d2;Int;logs;50.0;17.07;34.14
hp;CJ;d2;Int;data;395.0;47.51;12.03
hp;CJ;d2;Int;logs;54.0;1.34;2.48
hp;CN;d2;Int;data;500.0;15.08;3.02
hp;CN;d2;Int;logs;54.0;0.2668;0.49
hp;DF;d2;Int;data;2500.0;614.2;24.57
hp;DF;d2;Int;logs;55.0;11.64;21.16
hp;EN;d2;Int;data;556.0;308.0;55.4
hp;EN;d2;Int;logs;53.0;15.96;30.11
hp;EP;d2;Int;data;1000.0;334.2;33.42
hp;EP;d2;Int;logs;54.0;2.71;5.02
hp;ET;d2;Int;data;50.0;0.1665;0.33
hp;ET;d2;Int;logs;50.0;0.01855;0.04
hp;GE;d2;Int;data;220.0;108.8;49.45
hp;GE;d2;Int;logs;54.0;0.4258;0.79
hp;IF;d2;Int;data;90.0;0.01862;0.02
hp;IF;d2;Int;logs;18.0;0.00808;0.04
hp;MN;d2;Int;data;5500.0;1940.0;35.27
hp;MN;d2;Int;logs;54.0;2.06;3.81
hp;PL;d2;Int;data;200.0;13.04;6.52
hp;PL;d2;Int;logs;108.0;2.49;2.31
hp;PX;d2;Int;data;54.0;2.82;5.22
hp;PX;d2;Int;logs;54.0;0.3866;0.72
hp;RE;d2;Int;data;610.0;253.6;41.57
hp;RE;d2;Int;logs;145.0;15.43;10.64
hp;RH;d2;Int;data;110.0;57.03;51.85
hp;RH;d2;Int;logs;54.0;0.132;0.24
hp;RI;d2;Int;data;3000.0;393.1;13.1
hp;RI;d2;Int;logs;54.0;2.77;5.13
hp;RP;d2;Int;data;898.0;512.7;57.09
hp;RP;d2;Int;logs;144.0;1.36;0.94
hp;ST;d2;Int;data;234.0;47.19;20.17
hp;ST;d2;Int;logs;54.0;3.68;6.81
hp;UT;d2;Int;data;305.0;21.21;6.95
hp;UT;d2;Int;logs;108.0;0.5479;0.51
pd;AN;d1;Dmz;data;100.0;46.01;46.01
pd;AN;d1;Dmz;logs;110.0;85.29;77.54
pd;AN;d1;Int;data;100.0;0.3971;0.4
pd;AN;d1;Int;logs;50.0;19.61;39.22
pd;AN;d2;Dmz;data;100.0;0.1321;0.13
pd;AN;d2;Dmz;logs;20.0;0.00336;0.02
pd;AN;d2;Int;data;100.0;0.02673;0.03
pd;AN;d2;Int;logs;20.0;0.01165;0.06
pd;AP;d1;Dmz;data;250.0;81.5;32.6
pd;AP;d1;Dmz;logs;35.0;8.84;25.26
pd;AP;d1;Int;data;35.0;19.16;54.74
pd;AP;d1;Int;logs;171.0;50.85;29.74
pd;AP;d2;Dmz;data;10.0;0.5279;5.28
pd;AP;d2;Dmz;logs;5.0;0.5673;11.35
pd;AP;d2;Int;data;1170.0;232.8;19.9
pd;AP;d2;Int;logs;32.0;0.00633;0.02
pd;CJ;d1;Int;data;250.0;95.7;38.28
pd;CJ;d1;Int;logs;125.0;9.0;7.2
pd;CJ;d2;Int;data;10.0;2.78;27.8
pd;CJ;d2;Int;logs;5.0;0.4269;8.54
pd;CN;d1;Int;data;1022.0;43.7;4.28
pd;CN;d1;Int;logs;54.0;2.51;4.65
pd;CN;d2;Int;data;10.0;0.00885;0.09
pd;CN;d2;Int;logs;5.0;0.01064;0.21
pd;DF;d1;Dmz;data;1460.0;493.7;33.82
pd;DF;d1;Dmz;logs;54.0;38.43;71.17
pd;DF;d1;Int;data;540.0;136.5;25.28
pd;DF;d1;Int;logs;19.0;2.03;10.68
pd;DF;d2;Int;data;700.0;1.81;0.26
pd;DF;d2;Int;logs;5.0;0.01187;0.24
pd;DPT_IF;d1;Dmz;data;2300.0;1880.0;81.74
pd;DPT_IF;d1;Int;data;2500.0;1710.0;68.4
pd;DPT_IF;d2;Dmz;data;1500.0;1270.0;84.67
pd;DPT_IF;d2;Int;data;3200.0;1770.0;55.31
pd;EN;d1;Dmz;data;53.0;12.56;23.7
pd;EN;d1;Dmz;logs;18.0;0.06803;0.38
pd;EN;d1;Int;data;2000.0;1290.0;64.5
pd;EN;d1;Int;logs;143.0;89.95;62.9
pd;EN;d2;Int;data;200.0;67.11;33.55
pd;EN;d2;Int;logs;10.0;0.1104;1.1
pd;EP;d1;Int;data;4880.0;2350.0;48.16
pd;EP;d1;Int;logs;100.0;19.45;19.45
pd;EP;d2;Int;data;10.0;0.00757;0.08
pd;EP;d2;Int;logs;5.0;0.00686;0.14
pd;ET;d1;Int;data;126.0;3.43;2.72
pd;ET;d1;Int;logs;18.0;0.206;1.14
pd;GE;d1;Int;data;700.0;429.5;61.36
pd;GE;d1;Int;logs;21.0;5.85;27.86
pd;GE;d2;Int;data;10.0;0.01075;0.11
pd;GE;d2;Int;logs;5.0;0.0612;1.22
pd;GEN_MAD;d1;Int;aus;6840.0;129.6;1.89
pd;IF;d1;Dmz;data;800.0;402.7;50.34
pd;IF;d1;Dmz;logs;20.0;0.00491;0.02
pd;IF;d1;Int;data;100.0;1.14;1.14
pd;IF;d1;Int;logs;20.0;0.03296;0.16
pd;IF;d2;Dmz;data;800.0;399.6;49.95
pd;IF;d2;Dmz;logs;20.0;0.0037;0.02
pd;IF;d2;Int;data;100.0;0.01614;0.02
pd;IF;d2;Int;logs;20.0;0.00602;0.03
pd;MN;d1;Dmz;data;808.0;389.0;48.14
pd;MN;d1;Dmz;logs;72.0;3.04;4.22
pd;MN;d1;Int;data;18000.0;7870.0;43.72
pd;MN;d1;Int;logs;54.0;28.75;53.24
pd;MN;d2;Int;data;10.0;0.6559;6.56
pd;MN;d2;Int;logs;7.8;4.15;53.21
pd;PDC_UT;d1;Dmz;data;50.0;0.4649;0.93
pd;PDC_UT;d1;Int;data;50.0;7.37;14.74
pd;PDC_UT;d2;Dmz;data;50.0;0.03058;0.06
pd;PDC_UT;d2;Int;data;50.0;13.86;27.72
pd;PL;d1;Dmz;data;18.0;7.56;42.0
pd;PL;d1;Dmz;logs;18.0;0.1718;0.95
pd;PL;d1;Int;data;325.0;197.5;60.77
pd;PL;d1;Int;logs;54.0;29.62;54.85
pd;PX;d1;Dmz;data;200.0;16.5;8.25
pd;PX;d1;Dmz;logs;60.0;0.7006;1.17
pd;PX;d1;Int;data;1460.0;603.1;41.31
pd;PX;d1;Int;logs;18.0;0.5532;3.07
pd;PX;d2;Dmz;data;10.0;0.00253;0.03
pd;PX;d2;Dmz;logs;5.0;0.07034;1.41
pd;PX;d2;Int;data;10.0;0.01836;0.18
pd;PX;d2;Int;logs;5.0;0.01907;0.38
pd;RE;d1;Dmz;data;5860.0;1230.0;20.99
pd;RE;d1;Dmz;logs;1000.0;392.2;39.22
pd;RE;d1;Int;data;100.0;43.82;43.82
pd;RE;d1;Int;logs;35.0;1.13;3.23
pd;RE;d2;Dmz;data;18.0;0.1182;0.66
pd;RE;d2;Dmz;logs;18.0;0.0538;0.3
pd;RE;d2;Int;data;18.0;6.63;36.83
pd;RE;d2;Int;logs;18.0;3.37;18.72
pd;RFS_MAD;d1;Int;aus;14650.0;0.751;0.01
pd;RH;d1;Dmz;data;750.0;65.54;8.74
pd;RH;d1;Dmz;logs;18.0;5.75;31.94
pd;RH;d1;Int;data;18.0;1.2;6.67
pd;RH;d1;Int;logs;18.0;0.3411;1.9
pd;RH;d2;Int;data;10.0;0.00516;0.05
pd;RH;d2;Int;logs;5.0;0.00291;0.06
pd;RI;d1;Dmz;data;12000.0;3210.0;26.75
pd;RI;d1;Dmz;logs;70.0;5.02;7.17
pd;RI;d1;Int;data;3910.0;2740.0;70.08
pd;RI;d1;Int;logs;18.0;1.13;6.28
pd;RI;d2;Dmz;data;100.0;2.46;2.46
pd;RI;d2;Dmz;logs;5.0;0.9435;18.87
pd;RI;d2;Int;data;50.0;0.00755;0.02
pd;RI;d2;Int;logs;10.0;0.00347;0.03
pd;RP;d1;Dmz;data;72.0;12.12;16.83
pd;RP;d1;Dmz;logs;100.0;7.66;7.66
pd;RP;d1;Int;data;21000.0;7650.0;36.43
pd;RP;d1;Int;logs;54.0;2.24;4.15
pd;RP;d2;Dmz;data;50.0;1.77;3.54
pd;RP;d2;Dmz;logs;18.0;0.8522;4.73
pd;RP;d2;Int;data;10.0;1.14;11.4
pd;RP;d2;Int;logs;5.0;0.03505;0.7
pd;ST;d1;Dmz;data;400.0;92.82;23.2
pd;ST;d1;Dmz;logs;94.0;47.78;50.83
pd;ST;d1;Int;data;350.0;143.4;40.97
pd;ST;d1;Int;logs;21.0;10.4;49.52
pd;ST;d2;Dmz;data;10.0;0.6773;6.77
pd;ST;d2;Dmz;logs;5.0;0.06742;1.35
pd;ST;d2;Int;data;50.0;0.01868;0.04
pd;ST;d2;Int;logs;10.0;0.00755;0.08
pd;UT;d1;Int;data;700.0;229.8;32.83
pd;UT;d1;Int;data;500.0;52.89;10.58
pd;UT;d1;Int;logs;36.0;3.77;10.47
pd;UT;d2;Int;data;50.0;0.00761;0.02
pd;UT;d2;Int;logs;10.0;0.00259;0.03
pp;AN;d2;Int;data;50.0;0.01074;0.02
pp;AN;d2;Int;logs;10.0;0.00432;0.04
pp;AP;d2;Dmz;data;40.0;1.2;3.0
pp;AP;d2;Dmz;logs;40.0;0.04521;0.11
pp;AP;d2;Int;data;40.0;3.54;8.85
pp;AP;d2;Int;logs;40.0;3.47;8.68
pp;CJ;d2;Int;data;54.0;6.3;11.67
pp;CJ;d2;Int;logs;18.0;0.08457;0.47
pp;CN;d2;Int;data;306.0;0.9587;0.31
pp;CN;d2;Int;logs;18.0;0.02345;0.13
pp;DF;d2;Dmz;data;1017.0;307.3;30.22
pp;DF;d2;Dmz;logs;54.0;2.18;4.04
pp;DF;d2;Int;data;30.0;12.63;42.1
pp;DF;d2;Int;logs;18.0;0.0184;0.1
pp;EN;d2;Dmz;data;36.0;0.02445;0.07
pp;EN;d2;Dmz;logs;18.0;0.01877;0.1
pp;EN;d2;Int;data;198.0;90.26;45.59
pp;EN;d2;Int;logs;108.0;0.2957;0.27
pp;EP;d2;Int;data;700.0;0.1995;0.03
pp;EP;d2;Int;logs;36.0;0.2536;0.7
pp;GE;d2;Int;data;54.0;24.08;44.59
pp;GE;d2;Int;logs;18.0;0.9648;5.36
pp;MN;d2;Dmz;data;18.0;0.0083;0.05
pp;MN;d2;Dmz;logs;18.0;0.02019;0.11
pp;MN;d2;Int;data;341.0;0.7625;0.22
pp;MN;d2;Int;logs;18.0;0.03522;0.2
pp;PL;d2;Dmz;data;18.0;0.05391;0.3
pp;PL;d2;Dmz;logs;18.0;0.04242;0.24
pp;PL;d2;Int;data;200.0;0.5544;0.28
pp;PL;d2;Int;logs;18.0;3.63;20.17
pp;PX;d2;Dmz;data;18.0;5.01;27.83
pp;PX;d2;Dmz;logs;18.0;0.2438;1.35
pp;PX;d2;Int;data;18.0;0.0108;0.06
pp;PX;d2;Int;logs;18.0;0.01586;0.09
pp;RE;d2;Dmz;data;844.0;144.5;17.12
pp;RE;d2;Dmz;logs;108.0;3.86;3.57
pp;RE;d2;Int;data;54.0;0.05337;0.1
pp;RE;d2;Int;logs;18.0;0.01315;0.07
pp;RH;d2;Dmz;data;251.0;0.07518;0.03
pp;RH;d2;Dmz;logs;18.0;0.0263;0.15
pp;RH;d2;Int;data;18.0;0.00498;0.03
pp;RH;d2;Int;logs;18.0;0.01141;0.06
pp;RI;d2;Dmz;data;1500.0;188.5;12.57
pp;RI;d2;Dmz;logs;53.0;3.64;6.87
pp;RI;d2;Int;data;1000.0;459.0;45.9
pp;RI;d2;Int;logs;18.0;0.04206;0.23
pp;RP;d2;Dmz;data;18.0;0.7843;4.36
pp;RP;d2;Dmz;logs;36.0;12.73;35.36
pp;RP;d2;Int;data;126.0;9.95;7.9
pp;RP;d2;Int;logs;18.0;0.3409;1.89
pp;ST;d2;Dmz;data;395.0;30.53;7.73
pp;ST;d2;Dmz;logs;54.0;0.9763;1.81
pp;ST;d2;Int;data;110.0;20.08;18.25
pp;ST;d2;Int;logs;36.0;0.2039;0.57
pp;TT;d2;Dmz;data;50.0;0.00504;0.01
pp;TT;d2;Dmz;logs;50.0;0.00575;0.01
pp;UT;d2;Int;data;90.0;0.05018;0.06
pp;UT;d2;Int;logs;18.0;0.02085;0.12
